,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
Glucose,-0.005947678542303509,-0.41093343891300893,-0.27669042610749744,0.11223412844195028,-0.05288844198174856,-0.10271065148495792,0.20568234597562374,0.08423825855744724,0.0859917673155212,-0.1882035788316331,0.14883907779553326,0.22684463872902907,0.2553233512818254,-0.3223765598837107,0.18608165514973357,-0.15186802505437563,0.4895877700016474,-0.23973465986288153
Uric_acid,0.3089152256688261,0.11839498398704894,-0.11872140897992746,-0.26056114451400064,0.3177654769004356,0.1612984866926128,0.09919754792837916,0.021588509223483925,-0.16495875583940295,-0.09304153935111048,-0.2156525016343467,0.08091712828598971,0.36953455406213476,0.26571701510973983,-0.15893780376442987,0.295691703925437,0.40537333822477833,0.2627095997676035
Triglycerides,0.15094721470995043,-0.24500589612672882,-0.2845044870386793,-0.05633991382359823,0.2685312291707508,0.26285633458896424,0.14430844697431572,0.056459980088377076,-0.05993284651726585,0.5327860525346386,0.04340735859360526,-0.17399381848979212,-0.0344917189435127,0.10536606335723944,0.29896947808307567,-0.1105947260420425,-0.05241352533367983,-0.21759266511877193
GPT,0.06418455813241442,0.009061974735059484,-0.013459843700986353,-0.08768347030251356,0.1288424100492954,-0.06259991577792878,-0.03392807579256608,-0.12753105945171878,0.151253856489702,0.02132867098131418,0.012488780313317112,0.03321117668142864,-0.015800346753676493,-0.04120364942079313,-0.12308385067455885,0.08543522854944739,-0.04090414871201568,-0.10951862429144422
Chlorine,-0.10230497240544649,0.188717714294808,0.13466880896466488,0.15520150426639967,-0.22184132827915645,0.27904809444954454,0.16115581048775596,-0.4394708937758042,0.1809158471835368,0.3454733124578574,0.2766020108378711,0.4082225320004361,0.38425860074607776,-0.0034916812325054922,0.010268131663284177,0.10496707759026754,-0.053277624582705616,0.06980078394567371
TSH,-0.043962276215741815,-0.018268907637200224,-0.007171073752117404,0.06965405133011862,0.12707801140453612,0.7850793671868366,-0.424006212832401,0.04654037228156834,0.17067968064711397,-0.2997685963441869,-0.07783291765929203,0.03517512516203408,-0.05740040830804871,-0.18736464402981667,0.0521439927676448,-0.07145876943621166,-0.0044285085731860935,-0.05717787467990599
Sodium,0.015137508880832045,0.4254222055567557,0.20115280524439583,-0.13410967969031032,-0.04596303514143093,0.07225100588727128,0.02455674273482812,-0.2356937024133835,-0.2595945562686195,0.20070089384207623,-0.1293829172799578,-0.061380149577324516,-0.32876930197317805,-0.23248027197575025,0.0840503857799735,-0.01768656193815215,0.503967987102806,-0.3552859615254394
HbA1c,-0.045268192387932595,-0.2976253190228539,-0.31664908540347086,0.002332374176395237,-0.19369361749612693,0.0913399657534289,0.022431330289317,-0.2798301136834239,-0.1332495642506597,0.09907346009837888,0.018844121481606954,-0.056987405629405394,-0.3769912627252754,-0.3353270520092332,-0.29545314102660686,0.19846943658338914,0.13082692448002287,0.4861645599548114
Total_cholesterol,-0.14041201400126427,-0.14752980721697034,0.043439010689987234,0.3010410762537608,0.5355776096955737,0.05274116136726721,0.16325749955396562,-0.06507298121965485,-0.22130933320053867,0.24085369632832151,-0.12764522045800986,0.16679105898815033,-0.13589453235394472,-0.012527329921135047,-0.1006623703438337,-0.027339261736551462,-0.17915146102670387,0.04163976684772651
Albumin_urine,0.4635748761252163,0.12467298380609003,0.009838476819433062,0.6322998316702078,-0.0662954347609004,-0.0587238098008194,-0.007808745304088751,0.012123358627405165,0.07601331677566837,-0.023943305785596856,0.06221449539177401,-0.08575920398188511,-0.18830056290159494,0.03958932564334276,0.025719938022066187,0.06834183175054284,0.08674879776854552,-0.04783773784912958
